As of,Rank,Last_Week_Rank,Title,Type_of_Film,Netflix_Exclusive,Netflix_Release_Date,Days_In_Top_10,Viewership_Score
4/1/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,9,90
4/1/20,2,-,Ozark,TV Show,Yes,21-Jul-17,5,45
4/1/20,3,2,All American,TV Show,,28-Mar-19,9,76
4/1/20,4,-,Blood Father,Movie,,26-Mar-20,5,30
4/1/20,5,4,The Platform,Movie,Yes,20-Mar-20,9,55
4/1/20,6,-,Car Masters: Rust to Riches,TV Show,Yes,14-Sep-18,4,14
4/1/20,7,-,Unorthodox,TV Show,Yes,26-Mar-20,2,5
4/1/20,8,5,Love is Blind,TV Show,Yes,13-Feb-20,9,40
4/1/20,9,-,Badland,Movie,,26-Mar-20,4,11
4/1/20,10,-,Uncorked,Movie,Yes,27-Mar-20,4,15
4/2/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,10,100
4/2/20,2,-,Ozark,TV Show,Yes,21-Jul-17,6,54
4/2/20,3,2,All American,TV Show,,28-Mar-19,10,84
4/2/20,4,-,Nailed It!,TV Show,Yes,9-Mar-18,1,7
4/2/20,5,-,How to Fix a Drug Scandal,TV Show,Yes,1-Apr-20,1,6
4/2/20,6,-,Blood Father,Movie,,26-Mar-20,6,35
4/2/20,7,-,The Roommate,Movie,,1-Apr-20,1,4
4/2/20,8,-,Unorthodox,TV Show,Yes,26-Mar-20,3,8
4/2/20,9,4,The Platform,Movie,Yes,20-Mar-20,10,57
4/2/20,10,-,Car Masters: Rust to Riches,TV Show,Yes,14-Sep-18,5,15
4/3/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,11,110
4/3/20,2,-,Ozark,TV Show,Yes,21-Jul-17,7,63
4/3/20,3,2,All American,TV Show,,28-Mar-19,11,92
4/3/20,4,-,How to Fix a Drug Scandal,TV Show,Yes,1-Apr-20,2,13
4/3/20,5,-,Nailed It!,TV Show,Yes,9-Mar-18,2,13
4/3/20,6,-,The Roommate,Movie,,1-Apr-20,2,9
4/3/20,7,-,Unorthodox,TV Show,Yes,26-Mar-20,4,12
4/3/20,8,-,The Players Club,Movie,,1-Apr-20,1,3
4/3/20,9,-,Salt,Movie,,1-Apr-20,1,2
4/3/20,10,-,Blood Father,Movie,,26-Mar-20,7,36
4/4/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,12,120
4/4/20,2,2,Ozark,TV Show,Yes,21-Jul-17,8,72
4/4/20,3,-,Money Heist,TV Show,Yes,20-Dec-17,1,8
4/4/20,4,3,All American,TV Show,,28-Mar-19,12,99
4/4/20,5,-,Coffee & Kareem,Movie,Yes,3-Apr-20,1,6
4/4/20,6,-,How to Fix a Drug Scandal,TV Show,Yes,1-Apr-20,3,18
4/4/20,7,-,The Roommate,Movie,,1-Apr-20,3,13
4/4/20,8,-,Nailed It!,TV Show,Yes,9-Mar-18,3,16
4/4/20,9,-,Unorthodox,TV Show,Yes,26-Mar-20,5,14
4/4/20,10,-,The Players Club,Movie,,1-Apr-20,2,4
4/5/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,13,130
4/5/20,2,2,Ozark,TV Show,Yes,21-Jul-17,9,81
4/5/20,3,-,Coffee & Kareem,Movie,Yes,3-Apr-20,2,14
4/5/20,4,-,Money Heist,TV Show,Yes,20-Dec-17,2,15
4/5/20,5,3,All American,TV Show,,28-Mar-19,13,105
4/5/20,6,-,How to Fix a Drug Scandal,TV Show,Yes,1-Apr-20,4,23
4/5/20,7,-,Nailed It!,TV Show,Yes,9-Mar-18,4,20
4/5/20,8,-,The Roommate,Movie,,1-Apr-20,4,16
4/5/20,9,-,Angel Has Fallen,Movie,,4-Apr-20,1,2
4/5/20,10,-,Unorthodox,TV Show,Yes,26-Mar-20,6,15
4/6/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,14,140
4/6/20,2,2,Ozark,TV Show,Yes,21-Jul-17,10,90
4/6/20,3,-,Coffee & Kareem,Movie,Yes,3-Apr-20,3,22
4/6/20,4,-,Angel Has Fallen,Movie,,4-Apr-20,2,9
4/6/20,5,-,Money Heist,TV Show,Yes,20-Dec-17,3,21
4/6/20,6,3,All American,TV Show,,28-Mar-19,14,110
4/6/20,7,-,How to Fix a Drug Scandal,TV Show,Yes,1-Apr-20,5,27
4/6/20,8,-,Nailed It!,TV Show,Yes,9-Mar-18,5,23
4/6/20,9,-,The Roommate,Movie,,1-Apr-20,5,18
4/6/20,10,-,The Hangover,Movie,,1-Jul-19,1,1
4/7/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,15,150
4/7/20,2,2,Ozark,TV Show,Yes,21-Jul-17,11,99
4/7/20,3,-,Coffee & Kareem,Movie,Yes,3-Apr-20,4,30
4/7/20,4,-,Angel Has Fallen,Movie,,4-Apr-20,3,16
4/7/20,5,-,Money Heist,TV Show,Yes,20-Dec-17,4,27
4/7/20,6,3,All American,TV Show,,28-Mar-19,15,115
4/7/20,7,-,The Big Show Show,TV Show,Yes,6-Apr-20,1,4
4/7/20,8,-,Nailed It!,TV Show,Yes,9-Mar-18,6,26
4/7/20,9,-,How to Fix a Drug Scandal,TV Show,Yes,1-Apr-20,6,29
4/7/20,10,-,Legacies,TV Show,,5-Apr-19,1,1
4/8/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,16,160
4/8/20,2,2,Ozark,TV Show,Yes,21-Jul-17,12,108
4/8/20,3,-,Coffee & Kareem,Movie,Yes,3-Apr-20,5,38
4/8/20,4,-,The Big Show Show,TV Show,Yes,6-Apr-20,2,11
4/8/20,5,-,Angel Has Fallen,Movie,,4-Apr-20,4,22
4/8/20,6,-,Money Heist,TV Show,Yes,20-Dec-17,5,32
4/8/20,7,3,All American,TV Show,,28-Mar-19,16,119
4/8/20,8,-,Legacies,TV Show,,5-Apr-19,2,4
4/8/20,9,-,Nailed It!,TV Show,Yes,9-Mar-18,7,28
4/8/20,10,-,The Hangover,Movie,,1-Jul-19,2,2
4/9/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,17,170
4/9/20,2,2,Ozark,TV Show,Yes,21-Jul-17,13,117
4/9/20,3,-,The Big Show Show,TV Show,Yes,6-Apr-20,3,19
4/9/20,4,-,Angel Has Fallen,Movie,,4-Apr-20,5,29
4/9/20,5,-,Coffee & Kareem,Movie,Yes,3-Apr-20,6,44
4/9/20,6,-,Money Heist,TV Show,Yes,20-Dec-17,6,37
4/9/20,7,3,All American,TV Show,,28-Mar-19,17,123
4/9/20,8,-,Legacies,TV Show,,5-Apr-19,3,7
4/9/20,9,4,Nailed It!,TV Show,Yes,9-Mar-18,8,30
4/9/20,10,-,The Hangover,Movie,,1-Jul-19,3,3
4/10/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,18,180
